 0.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
 0.00100 0.99965 0.99965 0.00039 0.00039 -0.01877 -0.01877 0.00035 0.00035 
 0.00200 0.99859 0.99859 0.00153 0.00153 -0.03725 -0.03725 0.00141 0.00141 
 0.00300 0.99685 0.99685 0.00334 0.00334 -0.05516 -0.05516 0.00315 0.00315 
 0.00400 0.99444 0.99444 0.00573 0.00573 -0.07230 -0.07230 0.00556 0.00556 
 0.00500 0.99141 0.99141 0.00859 0.00859 -0.08848 -0.08848 0.00859 0.00859 
 0.00600 0.98779 0.98779 0.01179 0.01179 -0.10355 -0.10355 0.01221 0.01221 
 0.00700 0.98362 0.98362 0.01521 0.01521 -0.11739 -0.11739 0.01638 0.01638 
 0.00800 0.97896 0.97896 0.01873 0.01873 -0.12992 -0.12992 0.02104 0.02104 
 0.00900 0.97385 0.97385 0.02222 0.02222 -0.14111 -0.14111 0.02615 0.02615 
 0.01000 0.96835 0.96835 0.02560 0.02560 -0.15095 -0.15095 0.03165 0.03165 
 0.01100 0.96250 0.96250 0.02875 0.02875 -0.15946 -0.15946 0.03750 0.03750 
 0.01200 0.95635 0.95635 0.03161 0.03161 -0.16669 -0.16669 0.04365 0.04365 
 0.01300 0.94995 0.94995 0.03411 0.03411 -0.17270 -0.17270 0.05005 0.05005 
 0.01400 0.94335 0.94335 0.03621 0.03621 -0.17757 -0.17757 0.05665 0.05665 
 0.01500 0.93659 0.93659 0.03789 0.03789 -0.18139 -0.18139 0.06341 0.06341 
 0.01600 0.92970 0.92970 0.03912 0.03912 -0.18426 -0.18426 0.07031 0.07031 
 0.01700 0.92271 0.92271 0.03992 0.03992 -0.18627 -0.18627 0.07729 0.07729 
 0.01800 0.91567 0.91567 0.04029 0.04029 -0.18752 -0.18752 0.08433 0.08433 
 0.01900 0.90859 0.90859 0.04025 0.04025 -0.18809 -0.18809 0.09141 0.09141 
 0.02000 0.90151 0.90151 0.03984 0.03984 -0.18808 -0.18808 0.09849 0.09849 
 0.02100 0.89443 0.89443 0.03908 0.03908 -0.18755 -0.18755 0.10557 0.10557 
 0.02200 0.88738 0.88738 0.03802 0.03802 -0.18659 -0.18659 0.11262 0.11262 
 0.02300 0.88037 0.88037 0.03669 0.03669 -0.18525 -0.18525 0.11963 0.11963 
 0.02400 0.87343 0.87343 0.03512 0.03512 -0.18358 -0.18358 0.12657 0.12657 
 0.02500 0.86655 0.86655 0.03335 0.03335 -0.18164 -0.18164 0.13345 0.13345 
 0.02600 0.85974 0.85974 0.03141 0.03141 -0.17946 -0.17946 0.14026 0.14026 
 0.02700 0.85303 0.85303 0.02934 0.02934 -0.17707 -0.17707 0.14697 0.14697 
 0.02800 0.84640 0.84640 0.02715 0.02715 -0.17452 -0.17452 0.15360 0.15360 
 0.02900 0.83988 0.83988 0.02488 0.02488 -0.17181 -0.17181 0.16012 0.16012 
 0.03000 0.83346 0.83346 0.02255 0.02255 -0.16897 -0.16897 0.16654 0.16654 
 0.03100 0.82715 0.82715 0.02016 0.02016 -0.16602 -0.16602 0.17285 0.17285 
 0.03200 0.82095 0.82095 0.01775 0.01775 -0.16298 -0.16298 0.17905 0.17905 
